"Electoral Division","Name","Families where children attend School(2006)",
"267001","AIRPORT","824",
"267002","BALBRIGGAN RURAL","3061",
"267003","BALBRIGGAN URBAN","1918",
"267004","BALDOYLE","1561",
"267005","BALGRIFFIN","230",
"267014","BALLYBOGHIL","201",
"267016","BALSCADDEN","110",
"267027","BLANCHARDSTOWN-ABBOTSTOWN","1722",
"267028","BLANCHARDSTOWN-BLAKESTOWN","9744",
"267029","BLANCHARDSTOWN-COOLMINE","3564",
"267030","BLANCHARDSTOWN-CORDUFF","1272",
"267031","BLANCHARDSTOWN-DELWOOD","1842",
"267032","BLANCHARDSTOWN-MULHUDDART","932",
"267033","BLANCHARDSTOWN-ROSELAWN","578",
"267034","BLANCHARDSTOWN-TYRRELSTOWN","394",
"267040","CASTLEKNOCK-KNOCKMAROON","6644",
"267041","CASTLEKNOCK-PARK","1604",
"267054","CLONMETHAN","126",
"267065","DONABATE","2272",
"267066","DUBBER","1247",
"267091","GARRISTOWN","226",
"267093","HOLLYWOOD","193",
"267094","HOLMPATRICK","820",
"267095","HOWTH","2964",
"267098","KILSALLAGHAN","441",
"267099","KINSALEY","1829",
"267102","LUCAN NORTH","420",
"267104","LUSK","2017",
"267105","MALAHIDE EAST","2430",
"267106","MALAHIDE-WEST","1966",
"267110","PORTMARNOCK NORTH","1411",
"267111","PORTMARNOCK SOUTH","1175",
"267118","RUSH","1986",
"267123","SKERRIES","2620",
"267130","SUTTON","2028",
"267131","SWORDS-GLASMORE","1868",
"267132","SWORDS-FORREST","3599",
"267133","SWORDS-LISSENHALL","3011",
"267134","SWORDS-SEATOWN","1718",
"267135","SWORDS-VILLAGE","875",
"267158","THE WARD","2016",
"267160","TURNAPIN","474",
