CSO_Code,Name,Census_2006,Census_2002
4001,AIRPORT,87,10
4002,BALBRIGGAN RURAL,566,217
4003,BALBRIGGAN URBAN,706,583
4004,BALDOYLE,629,504
4005,BALGRIFFIN,115,48
4006,BALLYBOGHIL,102,44
4007,BALSCADDEN,70,31
4008,BLANCHARDSTOWN-ABBOTSTOWN,365,363
4009,BLANCHARDSTOWN-BLAKESTOWN,1580,1305
4010,BLANCHARDSTOWN-COOLMINE,876,557
4011,BLANCHARDSTOWN-CORDUFF,382,319
4012,BLANCHARDSTOWN-DELWOOD,303,227
4013,BLANCHARDSTOWN-MULHUDDART,163,95
4014,BLANCHARDSTOWN-ROSELAWN,189,136
4015,BLANCHARDSTOWN-TYRRELSTOWN,162,117
4016,CASTLEKNOCK-KNOCKMAROON,923,560
4017,CASTLEKNOCK-PARK,262,210
4018,CLONMETHAN,67,58
4019,DONABATE,786,729
4020,DUBBER,219,57
4021,GARRISTOWN,87,92
4022,HOLLYWOOD,81,74
4023,HOLMPATRICK,259,194
4024,HOWTH,812,620
4025,KILSALLAGHAN,196,185
4026,KINSALEY,514,273
4027,LUCAN NORTH,87,67
4028,LUSK,491,256
4029,MALAHIDE EAST,441,287
4030,MALAHIDE-WEST,460,329
4031,PORTMARNOCK NORTH,340,265
4032,PORTMARNOCK SOUTH,266,195
4033,RUSH,656,422
4034,SKERRIES,706,466
4035,SUTTON,594,423
4036,SWORDS-FORREST,718,448
4037,SWORDS-GLASMORE,540,416
4038,SWORDS-LISSENHALL,533,268
4039,SWORDS-SEATOWN,305,211
4040,SWORDS-VILLAGE,228,217
4041,THE WARD,193,73
4042,TURNAPIN,156,117
